insn,Ptype,Etype,0,1,2,3,in1,in2,in3,out,CR in,CR out
mcrf,2P,EXTRA3,d:BF,s:BFA,0,0,0,0,0,0,BFA,BF
mfcr/mfocrf,2P,EXTRA3,d:RT,s:CR,0,0,0,0,0,RT,WHOLE_REG,0
setb,2P,EXTRA3,d:RT,s:BFA,0,0,0,0,0,RT,BFA,0
5/0=ftsqrt,2P,EXTRA3,TODO,0,0,0,0,FRB,0,0,0,BF
22/7=mtfsf,2P,EXTRA3,TODO,0,0,0,0,FRB,0,0,0,CR1
cmpli,2P,EXTRA3,d:BF,s:RA,0,0,RA,0,0,0,0,BF
cmpi,2P,EXTRA3,d:BF,s:RA,0,0,RA,0,0,0,0,BF
neg,2P,EXTRA3,d:RT,s:RA,0,0,RA,0,0,RT,0,0
popcntb,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
prtyw,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
prtyd,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
mfspr,2P,EXTRA3,d:RS,s:SPR,0,0,SPR,0,0,RT,0,0
popcntw,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
mtspr,2P,EXTRA3,d:SPR,s:RS,0,0,RS,0,0,SPR,0,0
popcntd,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
nego,2P,EXTRA3,d:RT,s:RA,0,0,RA,0,0,RT,0,0
addic,2P,EXTRA3,d:RT,s:RA,0,0,RA,0,0,RT,0,0
addi,2P,EXTRA3,d:RT,s:RA,0,0,RA_OR_ZERO,0,0,RT,0,0
addis,2P,EXTRA3,d:RT,s:RA,0,0,RA_OR_ZERO,0,0,RT,0,0
ori,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
oris,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
xori,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
xoris,2P,EXTRA3,d:RA,s:RS,0,0,RS,0,0,RA,0,0
subfic,2P,EXTRA3,d:RT,s:RA,0,0,RA,0,0,RT,0,0
cntlzw,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
cntlzd,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
subfze,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
addze,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
cnttzw,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
cnttzd,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
subfzeo,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
addzeo,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
extsh,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
extsb,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
extsw,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
fsqrt,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
fre,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
frsqrte,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
18/7=mffsfamily,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
1/8=fneg,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
2/8=fmr,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
4/8=fnabs,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
8/8=fabs,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
12/8=frin,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
13/8=friz,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
14/8=frip,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
15/8=frim,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
0/12=frsp,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
0/14=fctiw,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
4/14=fctiwu,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
25/14=fctid,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
26/14=fcfid,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
29/14=fctidu,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
30/14=fcfidu,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
0/15=fctiwz,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
4/15=fctiwuz,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
25/15=fctidz,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
29/15=fctiduz,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,CR1
addic.,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
rlwinm,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
andi.,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
andis.,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,RS,0,0,RA,0,CR0
mulli,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
rldicl,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
rldicl,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
rldicr,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
rldicr,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
rldic,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
rldic,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
subfme,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
addme,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
subfmeo,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
addmeo,2P,EXTRA3,"d:RT,d:CR0",s:RA,0,0,RA,0,0,RT,0,CR0
srawi,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
sradi,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
sradi,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
extswsli,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
extswsli,2P,EXTRA3,"d:RA,d:CR0",s:RS,0,0,0,0,RS,RA,0,CR0
fcfid[u]s,2P,EXTRA3,TODO,0,0,0,0,FRB,0,FRT,0,0
fsqrts,2P,EXTRA3,"d:FRT,d:CR1",s:FRA,0,0,0,FRB,0,FRT,0,CR1
fres,2P,EXTRA3,"d:FRT,d:CR1",s:FRA,0,0,0,FRB,0,FRT,0,CR1
frsqrtes,2P,EXTRA3,"d:FRT,d:CR1",s:FRA,0,0,0,FRB,0,FRT,0,CR1
